iter	Passed	Remaining
0	4	4062
1	7	3625
2	10	3506
3	14	3447
4	17	3394
5	20	3380
6	23	3342
7	27	3319
8	30	3300
9	33	3283
10	37	3278
11	40	3268
12	43	3264
13	46	3256
14	50	3260
15	53	3266
16	57	3262
17	60	3257
18	63	3251
19	67	3261
20	70	3258
21	74	3256
22	77	3250
23	81	3245
24	84	3255
25	88	3263
26	91	3258
27	95	3259
28	98	3259
29	102	3259
30	105	3257
31	109	3254
32	112	3251
33	116	3262
34	120	3259
35	123	3257
36	127	3255
37	130	3254
38	134	3260
39	137	3256
40	141	3253
41	145	3255
42	149	3264
43	153	3272
44	156	3269
45	160	3271
46	164	3291
47	170	3323
48	175	3359
49	180	3379
50	185	3398
51	189	3406
52	194	3412
53	198	3416
54	201	3410
55	205	3405
56	208	3397
57	212	3395
58	216	3390
59	219	3385
60	223	3380
61	226	3372
62	230	3373
63	233	3367
64	237	3361
65	240	3355
66	244	3351
67	248	3348
68	252	3347
69	255	3340
70	258	3333
71	262	3331
72	266	3325
73	269	3320
74	273	3314
75	276	3308
76	280	3311
77	284	3308
78	288	3304
79	291	3301
80	295	3300
81	299	3297
82	302	3292
83	306	3286
84	310	3287
85	314	3287
86	318	3285
87	321	3279
88	325	3275
89	329	3274
90	332	3269
91	336	3263
92	339	3258
93	343	3256
94	346	3249
95	350	3243
96	353	3239
97	358	3247
98	363	3248
99	367	3252
100	372	3257
101	377	3264
102	381	3268
103	386	3269
